toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2,toi_created,rowupdate
1000.01,50365310,FP,07h29m25.85s,112.357708,-12d41m45.46s,-12.69596,-5.964,0.085,-0.085,-0.076,0.072,-0.072,2459229.63,0.001657,-0.001657,2.1713484,0.0002637,-0.0002637,2.0172196,0.3195879,-0.3195879,656.8860989,37.77821,-37.77821,5.8181633,1.9105465,-1.9105465,22601.94858,3127.204052,9.604,0.013,-0.013,485.735,11.9515,-11.9515,10249.0,264.7,-264.7,4.19,0.07,-0.07,2.16986,0.0725729,-0.0725729,24/07/2019 15:58,09/09/2024 10:08
1001.01,88863718,PC,08h10m19.31s,122.580465,-05d30m49.87s,-5.513852,-4.956,0.102,-0.102,-15.555,0.072,-0.072,2459987.949,0.001916,-0.001916,1.9316462,5.3e-06,-5.3e-06,3.166,0.647,-0.647,1286.0,1186.49,-1186.49,11.2154,2.6242,-2.6242,44464.5,4045.0,9.42344,0.006,-0.006,295.862,5.91,-5.91,7070.0,126.4,-126.4,4.03,0.09,-0.09,2.01,0.09,-0.09,24/07/2019 15:58,03/04/2023 14:31
1004.01,238597883,FP,08h08m42.77s,122.178195,-48d48m10.12s,-48.802811,-4.496,0.069,-0.069,9.347,0.062,-0.062,2459987.047,0.003748,-0.003748,3.5730141,1.28e-05,-1.28e-05,3.37,1.029,-1.029,755.0,1306.55,-1306.55,11.3113,3.24714,-3.24714,54679.3,4260.0,9.1355,0.006,-0.006,356.437,4.6175,-4.6175,9219.0,171.1,-171.1,4.14,0.07,-0.07,2.15,0.06,-0.06,24/07/2019 15:58,09/09/2024 10:08
1007.01,65212867,PC,07h31m00.57s,112.752393,-04d27m48.09s,-4.463359,0.357,0.058,-0.058,3.399,0.045,-0.045,2459247.931,0.0013,-0.0013,6.9989206,1.37e-05,-1.37e-05,3.953,0.437,-0.437,2840.0,0.943618,-0.943618,14.7752,0.764705,-0.764705,448.744,1282.0,8.87759,0.006,-0.006,283.291,3.0025,-3.0025,6596.0,139.2,-139.2,3.71,0.09,-0.09,2.7,0.13,-0.13,24/07/2019 15:58,29/10/2021 12:59
1011.01,114018671,PC,07h35m56.34s,113.984761,-32d50m31.2s,-32.841999,145.102,0.046,-0.046,-134.901,0.052,-0.052,2459984.628,0.002619,-0.002619,2.4704981,7.3e-06,-7.3e-06,2.191,0.482,-0.482,250.0,18.1279,-18.1279,1.44656,0.107503,-0.107503,575.597,1364.0,8.2388,0.006,-0.006,52.62,0.0793,-0.0793,5413.7,132.8,-132.8,4.46,0.09,-0.09,0.94,0.05,-0.05,24/07/2019 15:58,22/03/2023 16:02
1012.01,427508467,APC,07h48m22.87s,117.095285,+06d47m06.23s,6.785064,-2.99,0.202,-0.202,-0.029,0.106,-0.106,2459252.51,0.000369,-0.000369,0.884182,7e-07,-7e-07,1.621,0.035,-0.035,1890.0,311.366,-311.366,24.8132,5.41599,-5.41599,112144.0,5098.0,8.12718,0.006,-0.006,295.959,11.315,-11.315,8928.0,128.7,-128.7,3.92,0.08,-0.08,2.72,0.13,-0.13,24/07/2019 15:58,10/03/2023 12:02
1016.01,175310067,FP,07h44m26.59s,116.110771,-36d05m53.83s,-36.098285,-9.231,0.048,-0.048,11.614,0.052,-0.052,2459238.831,0.006715,-0.006715,12.6889415,0.0095088,-0.0095088,7.9201001,0.5393766,-0.5393766,3232.852789,235.25328,-235.25328,14.0608342,15.241591,-15.241591,425.1594177,1158.131037,10.6257,0.006,-0.006,368.646,3.784,-3.784,7601.0,135.8,-135.8,4.31,0.08,-0.08,1.53641,0.0479799,-0.0479799,01/04/2019 16:52,09/09/2024 10:08
1017.01,182943944,FP,08h18m54.34s,124.726411,-37d46m59.7s,-37.78325,-11.278,0.045,-0.045,9.593,0.045,-0.045,2458518.965,0.00137,-0.00137,1.10422,0.00013,-0.00013,2.37,0.062,-0.062,14177.7,843.788,-843.788,21.0448,5.22012,-5.22012,39459.3,3926.0,10.6019,0.006,-0.006,406.997,4.7245,-4.7245,6995.2,157.0,-157.0,4.07,0.55,-0.55,1.61,0.07,-0.07,24/07/2019 17:08,29/10/2021 12:59
1018.01,291555748,FP,07h26m51.84s,111.716019,-50d15m59.64s,-50.266567,-8.018,0.049,-0.049,11.56,0.047,-0.047,2458492.781,0.00073,-0.00073,4.95912,0.00016,-0.00016,2.509,0.13,-0.13,7440.0,197.962,-197.962,22.9123,3.28055,-3.28055,673.55,1419.0,10.6254,0.006,-0.006,360.541,2.9645,-2.9645,5889.0,124.3,-124.3,3.86,0.07,-0.07,2.0,0.09,-0.09,01/04/2019 16:52,29/10/2021 12:59
1019.01,341420329,PC,08h00m35.52s,120.147994,-54d52m42.79s,-54.878552,-11.732,0.047,-0.047,2.586,0.061,-0.061,2459232.447,0.00012,-0.00012,5.2341008,1.2e-06,-1.2e-06,3.7078139,0.0125204,-0.0125204,20796.94163,50.80361,-50.80361,24.2931408,0.7497171,-0.7497171,1453.666385,1574.838185,10.6348,0.006,-0.006,399.544,4.1635,-4.1635,7645.0,134.4,-134.4,4.3,0.08,-0.08,1.56203,0.0481257,-0.0481257,24/07/2019 17:08,16/02/2024 10:08
