ra,dec,pl_orbper,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,mission,disposition_norm
112.357708,-12.69596,2.1713484,5.8181633,22601.94858,3127.204052,10249.0,4.19,2.16986,9.604,TESS,FALSE
122.580465,-5.513852,1.9316462,11.2154,44464.5,4045.0,7070.0,4.03,2.01,9.42344,TESS,CANDIDATE
122.178195,-48.802811,3.5730141,11.3113,54679.3,4260.0,9219.0,4.14,2.15,9.1355,TESS,FALSE
112.752393,-4.463359,6.9989206,14.7752,448.744,1282.0,6596.0,3.71,2.7,8.87759,TESS,CANDIDATE
318.737012,-55.871863,1.4303699,13.1874503,1281.240825,1525.904809,5600.0,4.48851,0.890774,12.4069,TESS,CONFIRMED
113.984761,-32.841999,2.4704981,1.44656,575.597,1364.0,5413.7,4.46,0.94,8.2388,TESS,CANDIDATE
117.095285,6.785064,0.884182,24.8132,112144.0,5098.0,8928.0,3.92,2.72,8.12718,TESS,CANDIDATE
116.110771,-36.098285,12.6889415,14.0608342,425.1594177,1158.131037,7601.0,4.31,1.53641,10.6257,TESS,FALSE
124.726411,-37.78325,1.10422,21.0448,39459.3,3926.0,6995.2,4.07,1.61,10.6019,TESS,FALSE
111.716019,-50.266567,4.95912,22.9123,673.55,1419.0,5889.0,3.86,2.0,10.6254,TESS,FALSE
120.147994,-54.878552,5.2341008,24.2931408,1453.666385,1574.838185,7645.0,4.3,1.56203,10.6348,TESS,CANDIDATE
87.139821,-63.988329,4.4119378,15.4706,653.252,1408.0,6280.0,4.32092,1.21,9.7109,TESS,CONFIRMED
119.30075,-42.999149,1.90879,3.34688,985.807,1561.0,6022.6,4.52,1.22,10.5551,TESS,FALSE
162.96491,-5.788708,3.09574,3.4262,18087.9,3230.0,6084.0,4.13,1.41,8.72924,TESS,FALSE
120.837688,-51.345626,1.3214483,21.8839,35623.2,3827.0,5050.8,3.56,2.99,9.697,TESS,FALSE
125.434634,-51.759442,14.2628757,2.4765813,153.2069421,980.3628831,5690.0,4.58,0.853898,9.9138,TESS,FALSE
167.133275,-29.653135,3.2834565,2.87648,161.092,992.0,4272.0,4.6,0.68,10.2103,TESS,CANDIDATE
167.133275,-29.653135,11.02875,2.76586,15.0463,548.0,4272.0,4.6,0.68,10.2103,TESS,CANDIDATE
167.133275,-29.653135,5.0113292,2.52314,17.1793,567.0,4272.0,4.6,0.68,10.2103,TESS,CANDIDATE
157.098337,-51.705409,1.01606,1.20704,2784.04,2023.0,4634.0,4.64,0.68,7.9059,TESS,FALSE
312.457488,-24.428694,3.547854,14.581841,1212.004376,1504.858953,6351.0,4.22896,1.4,11.5232,TESS,CONFIRMED
155.831478,-57.590248,12.1246519,17.6729,207.32,1057.0,4807.6,4.17,1.07,9.5706,TESS,FALSE
140.88389,-67.026006,5.652623,8.94354,2717.06,2011.0,6415.4,3.98,1.92,9.7318,TESS,FALSE
159.221506,-42.541639,5.6643704,14.7738943,7657.662151,2385.853649,10395.0,4.13,2.3383701,9.7611,TESS,CANDIDATE
134.441752,-49.000578,3.6404389,3.7025342,9941.226551,2783.098027,9810.0,4.43,1.60776,9.8174,TESS,FALSE
144.150273,-61.583182,6.0744477,30.9493217,1487.564434,1583.93989,5964.0,3.7,2.4303801,10.1126,TESS,CANDIDATE
157.867112,-42.240448,3.7795212,5.98375,466.528,1294.0,5771.0,4.31,1.18,10.2855,TESS,CANDIDATE
147.385172,-63.306478,1.2025238,6.31106,208477.0,5952.0,9158.0,4.32,1.74,9.0211,TESS,FALSE
319.949697,-58.148933,4.0872956,13.6237732,2242.36054,1755.076738,6036.0,3.93359,2.2186699,9.8638,TESS,CONFIRMED
