st_teff,dec,pl_rade,pl_eqt,type,Status,pl_insol,st_rad,st_tmag,pl_orbper,ra,st_logg
10249.0,-12.69596,5.8181633,3127.204052,TESS,FP,22601.94858,2.16986,9.604,2.1713484,112.357708,4.19
7070.0,-5.513852,11.2154,4045.0,TESS,PC,44464.5,2.01,9.42344,1.9316462,122.580465,4.03
8924.0,-10.580455,23.7529,2037.0,TESS,FP,2860.61,5.73,9.299501,1.8675574,104.726966,
5388.5,-25.207017,,1631.0,TESS,FP,1177.36,,9.3003,2.74323,110.559945,4.15
9219.0,-48.802811,11.3113,4260.0,TESS,FP,54679.3,2.15,9.1355,3.5730141,122.178195,4.14
5613.0,-11.101521,7.10841,1257.0,TESS,FP,414.775,1.09,9.1309,4.5505945,120.704811,
6616.0,-27.273521,8.6950898,1649.82207,TESS,FP,1750.932635,1.53429,9.2386,2.5047918,124.359239,
6596.0,-4.463359,14.7752,1282.0,TESS,PC,448.744,2.7,8.87759,6.9989206,112.752393,3.71
6858.5,13.395219,3.19621,,TESS,FP,5644.4,1.57,8.9362,2.0483755,109.382839,4.2
8868.7,-24.462111,,1456.424653,TESS,PC,1063.342296,,8.4331,1.9600277,111.667845,
5600.0,-55.871863,13.1874503,1525.904809,TESS,KP,1281.240825,0.890774,12.4069,1.4303699,318.737012,4.48851
9438.0,-21.832912,5.9115908,4382.026606,TESS,FP,87140.69959,1.0,8.45086,0.6808702,112.293981,
5413.7,-32.841999,1.44656,1364.0,TESS,PC,575.597,0.94,8.2388,2.4704981,113.984761,4.46
8928.0,6.785064,24.8132,5098.0,TESS,APC,112144.0,2.72,8.12718,0.884182,117.095285,3.92
8868.7,-31.933523,,1037.275305,TESS,FP,273.5880696,,7.6095,5.4255548,107.286063,
9307.0,-34.22282,,1625.618022,TESS,FP,1650.422071,,7.678,1.4095184,103.561602,
4897.0,-27.971896,42.1479417,1912.331864,TESS,FP,3160.632833,6.7996101,10.7069,1.3730466,122.895964,
7601.0,-36.098285,14.0608342,1158.131037,TESS,FP,425.1594177,1.53641,10.6257,12.6889415,116.110771,4.31
6995.2,-37.78325,21.0448,3926.0,TESS,FP,39459.3,1.61,10.6019,1.10422,124.726411,4.07
5889.0,-50.266567,22.9123,1419.0,TESS,FP,673.55,2.0,10.6254,4.95912,111.716019,3.86
7645.0,-54.878552,24.2931408,1574.838185,TESS,PC,1453.666385,1.56203,10.6348,5.2341008,120.147994,4.3
6280.0,-63.988329,15.4706,1408.0,TESS,KP,653.252,1.21,9.7109,4.4119378,87.139821,4.32092
8734.2,-43.828421,,3661.0,TESS,FP,29832.6,,10.7173,3.28892,128.381976,4.1
6022.6,-42.999149,3.34688,1561.0,TESS,FP,985.807,1.22,10.5551,1.90879,119.30075,4.52
6084.0,-5.788708,3.4262,3230.0,TESS,FA,18087.9,1.41,8.72924,3.09574,162.96491,4.13
5050.8,-51.345626,21.8839,3827.0,TESS,FP,35623.2,2.99,9.697,1.3214483,120.837688,3.56
4709.0,-72.422611,21.644,463.0,TESS,FP,7.64364,7.61,10.0814,18.0157,86.820714,
8598.7,-51.517114,,1914.698926,TESS,PC,3176.310692,,5.5324,9.6837921,142.521159,
5690.0,-51.759442,2.4765813,980.3628831,TESS,FP,153.2069421,0.853898,9.9138,14.2628757,125.434634,4.58
4272.0,-29.653135,2.87648,992.0,TESS,PC,161.092,0.68,10.2103,3.2834565,167.133275,4.6
4272.0,-29.653135,2.76586,548.0,TESS,PC,15.0463,0.68,10.2103,11.02875,167.133275,4.6
4272.0,-29.653135,2.52314,567.0,TESS,PC,17.1793,0.68,10.2103,5.0113292,167.133275,4.6
